# Rime user dictionary
#@/db_name	luna_pinyin.userdb.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	36766
#@/user_id	Office-PC
bao cun dao 	保存到	c=1 d=9.10243e-071 t=36766
bao cuo 	報錯	c=8 d=5.70115e-006 t=36766
bao dao 	報到	c=4 d=0.00311976 t=36766
bao de 	保德	c=1 d=5.83244e-011 t=36766
bao gao 	報告	c=5 d=1.78977 t=36766
bao guang 	曝光	c=9 d=5.85723e-074 t=36766
bao han 	包含	c=25 d=0.0914647 t=36766
bao hu 	保護	c=14 d=7.87667e-030 t=36766
bao hui 	包會	c=1 d=5.97888e-038 t=36766
bao hui 	抱回	c=1 d=3.16186e-043 t=36766
bao kuo 	包括	c=4 d=0.205147 t=36766
bao le 	報了	c=2 d=0.135335 t=36766
bao li 	保利	c=0 d=0.00599047 t=36766
bao li 	包裏	c=1 d=3.36652e-075 t=36766
bao li 	暴力	c=2 d=0.621885 t=36766
bao li ju yuan 	保利劇院	c=1 d=0.060205 t=36766
bao liu 	保留	c=5 d=0.000643077 t=36766
bao lu 	暴露	c=1 d=3.53443e-030 t=36766
bao ma 	寶馬	c=1 d=3.15466e-075 t=36766
bao ming 	包名	c=1 d=1.74663e-061 t=36766
bao ming 	報名	c=1 d=1.68656e-061 t=36766
bao qian 	抱歉	c=6 d=0.00019357 t=36766
bao xian 	保險	c=2 d=0.657047 t=36766
bao ye 	報業	c=1 d=2.7544e-067 t=36766
bao ye 	寶爺	c=14 d=9.92975e-006 t=36766
bao zha 	爆炸	c=1 d=1.81106e-046 t=36766
bao zhe 	包着	c=1 d=5.47732e-066 t=36766
bao zhe ge 	包這個	c=2 d=2.5371e-012 t=36766
bao zheng 	保證	c=2 d=2.21708e-014 t=36766
bao zheng jin 	保證金	c=1 d=0.394554 t=36766
bao zhong 	保重	c=2 d=2.82681e-041 t=36766
bei 	備	c=1 d=1.24748e-072 t=36766
bei 	唄	c=32 d=3.57819e-009 t=36766
bei 	被	c=19 d=0.00029905 t=36766
bei an 	備案	c=4 d=1.64581e-038 t=36766
bei bei 	貝貝	c=1 d=6.3813e-069 t=36766
bei da 	北大	c=1 d=3.2429e-076 t=36766
bei er 	貝爾	c=0 d=8.94224e-069 t=36766
bei fen 	備份	c=3 d=1.46303e-006 t=36766
bei hao 	備好	c=1 d=1.4439e-057 t=36766
bei jing 	北京	c=2 d=3.34123e-007 t=36766
bei jing 	背景	c=5 d=3.96079e-007 t=36766
bei ju 	悲劇	c=1 d=3.42345e-037 t=36766
bei qu 	北區	c=1 d=5.96649e-043 t=36766
